dis_price,discount_percent,main_category_name,ori_price,ranking,sub_category_name,title
26500,0,ALL,26500,1,ALL,[풀무원]풀무원 얇은피만두 6종 8봉 노엣지피자 5판 골라담기
21500,0,ALL,21500,2,ALL,[서울우유]서울멸균우유 1000ml x 10팩
33810,8,ALL,33810,3,ALL,[깨끗한나라]깨끗한나라 벚꽃 프리미엄 화장지 (총90롤) 27mx30롤
36900,0,ALL,36900,4,ALL,CJ제일제당  햇반 백미 210g 36개
16900,50,ALL,16900,5,ALL,[누리원]방울토마토 대추방울토마토 5kg (중소과/정품)
32900,50,ALL,32900,6,ALL,루솔 진한 배도라지즙 40포 선물세트 :진한배즙(40)
17900,3,ALL,17900,7,ALL,[코카콜라]코크제로355ml캔 24입
10500,50,ALL,10500,8,ALL,자연 모짜렐라 슈레드치즈 1kg  /피자치즈/대용량
13900,50,ALL,13900,9,ALL,[Gfresh]춘천 식 숯불 닭갈비 750g  x 2봉
49690,8,ALL,49690,10,ALL,아에르 KF94 스탠다드핏 마스크 50매
33900,0,ALL,33900,11,ALL,[맥스드라이]하기스 맥스드라이팬티 6단계 공용 26PX2팩
30900,0,ALL,30900,12,ALL,[다향오리]다향오리 훈제슬라이스 200gx10팩
24500,0,ALL,24500,13,ALL,[추억의국민학교떡볶이] 떡볶이 6종 골라담기 (5팩구성)
26660,1,ALL,26660,14,ALL,[위드맘]스마일배송 무항생제원유 위드맘 1단계 750g 1캔
8500,50,ALL,8500,15,ALL,제주산 콜라비 5kg 싱싱해 아삭해 달콤해
100670,15,ALL,100670,16,ALL,[종근당]종근당건강 락토핏 생유산균 코어 6통
16900,52,ALL,16900,17,ALL,[릴리유]릴리유 퓨어퍼플 물티슈 캡72매X10팩(1BOX)
13900,44,ALL,13900,18,ALL,[Gfresh]호떡쌀 군만두 1.2kg+1.2kg 총2.4kg 화제의 그 만두
33900,0,ALL,33900,19,ALL,[맥스드라이]하기스 맥스드라이팬티 5단계 공용 31PX2팩
11900,69,ALL,11900,20,ALL,[젤리스푼]아동복/여아의류/레깅스/자켓/점퍼/여아옷/상하복
13900,50,ALL,13900,21,ALL,[스파클]스파클생수 2L 30병
8500,50,ALL,8500,22,ALL,햇 호두800g(400g+400g) 견과류 20년산
10400,45,ALL,10400,23,ALL,[Gfresh]군산맛집 산북동 엄마손칼국수  7인분(바지락 미포함)
21620,8,ALL,21620,24,ALL,갤러리아  꿀고구마 베니하루카 5kg (특상품)
30900,29,ALL,30900,25,ALL,[에시앙]모데즈 유모차라이너 (디자인선택)
10900,50,ALL,10900,26,ALL,쫀떡쫀떡 쑥개 떡  1.8kg(60gX30개)_벌크포장
16900,32,ALL,16900,27,ALL,[Gfresh]청주맛집 마을회관  정통수제 양념돼지갈비 1kg
8900,33,ALL,8900,28,ALL,여수사나이 총각김치/김치/국내산 1.5kg/당일생산
95000,5,ALL,95000,29,ALL,[구글플레이](카드가능) 기프트코드 10만원 / 구글 기프트카드
5900,69,ALL,5900,30,ALL,[르헤브]네온 피그먼트 메밀베개/건강베개/목베개
25900,50,ALL,25900,31,ALL,제주 한라봉 5kg 내외(26과내외)/쿠폰할인가 21240원
27900,0,ALL,27900,32,ALL,[크리넥스]베이비 입체마스크 10PX5팩/유아마스크/36개월이하
36900,44,ALL,36900,33,ALL,[에시앙]에시앙 부스터 이유식의자 아기의자
9900,70,ALL,9900,34,ALL,[리바디]리바디 데일리요가복/레깅스/ 베스트 아이템 모음전
26660,1,ALL,26660,35,ALL,[위드맘]스마일배송 바른목장 원유 위드맘 2단계 750g 1캔
7900,69,ALL,7900,36,ALL,[팬콧키즈]신학기 아동 실내화 덧신 EVA 유아 키즈 초등
13900,50,ALL,13900,37,ALL,블랙라벨 오렌지 퓨어스펙 20과 (중소과/개당160g내외)
33900,0,ALL,33900,38,ALL,[맥스드라이]하기스 맥스드라이팬티 4단계 공용 38PX2팩
45000,10,ALL,45000,39,ALL,[에그머니](카드가능)(에그머니) 온라인 게임상품권 5만원
54640,10,ALL,54640,40,ALL,유귀열 유귀열의 The귀한 도가니탕 600g x10팩 +1팩
21900,58,ALL,21900,41,ALL,[에시앙]유아 의자 P에디션 카트+핸들
21450,2,ALL,21450,42,ALL,(행사상품)N 동서식품_맥심모카골드믹스_230T 2760G 
10900,69,ALL,10900,43,ALL,글램공감/브라1+팬티2/속옷세트/A~D컵/빅사이즈
9900,70,ALL,9900,44,ALL,[베베쥬]봄 신상/신학기룩/봄 맞이/핫 트렌드룩
19900,0,ALL,19900,45,ALL,[폴로]폴로랄프로렌 남성 와플 긴팔 티셔츠 7종 택1
21900,33,ALL,21900,46,ALL,[오뚜기밥]맛있는 오뚜기밥 210g 24개
17900,69,ALL,17900,47,ALL,[팬콧키즈]20+7%쿠폰 주니어 상하복 팬츠 티셔츠 바지 의류
7900,30,ALL,7900,48,ALL,[Gfresh]국산 찰흑미 500gx3개 소포장 2020년산
60000,0,ALL,60000,49,ALL,(책읽는곰) 작가별 베스트 온라인 도서전
14900,40,ALL,14900,50,ALL,[베이비베이비]베이비베이비 아기물티슈 트윙클120매 20팩 캡형
30900,33,ALL,30900,51,ALL,[쵱선생]노르웨이 슈페리어급 냉장 생연어 1kg/ 25900원 쿠폰가
69500,36,ALL,69500,52,ALL,제이와이북스 노부영 에릭칼 보드북 8종
9500,50,ALL,9500,53,ALL,무안 박진우님의 고구마 2kg 특상중 꿀고구마
15900,30,ALL,15900,54,ALL,[Gfresh]청정우 차돌박이 (3초구이 샤브용) 250gX3팩
16900,52,ALL,16900,55,ALL,[크리넥스]크리넥스 실크소프트 250매X3입X3팩 /곽티슈
12900,70,ALL,12900,56,ALL,스위트바니 봄신상 롱원피스/맨투맨/후드/빅사이즈
28900,69,ALL,28900,57,ALL,[베베숲]아기물티슈 프리미어 캡70매 20팩
12900,67,ALL,12900,58,ALL,[폴햄]폴햄 티셔츠/셔츠 외 이너모음
179600,0,ALL,179600,59,ALL,[인텔]INTEL 코어10세대 i5-10400F 정품박스 컴퓨존
189880,5,ALL,189880,60,ALL,(레이첼) 사계절 웃는 코끼리 시리즈 1~23권세트
16900,19,ALL,16900,61,ALL,[켈로그]켈로그 그래놀라 3종(블루베리+크렌베리+현미)
22680,0,ALL,22680,62,ALL,추억의국민학교떡볶이  떡볶이 7종 골라담기
20900,50,ALL,20900,63,ALL,[Gfresh]부산 영성방 칠리 새우 1kg/ 500g(새우+소스) x2봉
34800,20,ALL,34800,64,ALL,[맥심]모카골드 커피믹스 160T+160T +에코백 증정
25900,0,ALL,25900,65,ALL,[일리윤]일리윤 세라마이드아토로션 350ml 3개
29900,0,ALL,29900,66,ALL,[풀무원]풀무원 올바른핫도그 40개 외 모짜렐라핫도그 혼합구
9900,70,ALL,9900,67,ALL,[삠뽀요]봄신상특가12%+베페추가쿠폰 상하복/원피스/가디건
8900,68,ALL,8900,68,ALL,[메디플라워]곡물 페이셜 폼클렌징/클렌징폼 150mlx5개/할인특가
15900,0,ALL,15900,69,ALL,[노브랜드]코카콜라 코크제로 190ml캔 30입
14900,50,ALL,14900,70,ALL,[페리오]치약 뉴후레쉬 알파치약 170g 10+10개
24000,0,ALL,24000,71,ALL,씨투엠 도형 학습지 플라토 S1~S4권 세트(전4권)
15900,30,ALL,15900,72,ALL,[Gfresh]청정우 우삼겹 3초구이 샤브용 300gX3팩
8900,69,ALL,8900,73,ALL,[키스포]주니어 봄 신상 오픈 초등팬츠 실내복 8900~ 상하복
8900,40,ALL,8900,74,ALL,[Gfresh]대구 북성로 연탄불고기 300Gx2팩
47500,5,ALL,47500,75,ALL,[구글플레이](카드가능) 기프트코드 5만원 / 구글 기프트카드
18900,33,ALL,18900,76,ALL,강원도 곤드레 비벼요 고소한맛   85g X 10봉 (10인분)
38100,6,ALL,38100,77,ALL,[envy][고당도]씻어나온 프리미엄 ENVY(엔비) 사과 총 4.4kg(2.2kg 2box)
42200,36,ALL,42200,78,ALL,씨투엠에듀 플라토주머니 평면도형+입체도형(전2종)
112000,20,ALL,112000,79,ALL,(봄이아트북스)공룡 대발이 생활동화 50권세트(만나요편)
49360,38,ALL,49360,80,ALL,(쿠폰특가)스마일북스-베스트차일드애플12 베스트차일드애플1 단품구매
10900,42,ALL,10900,81,ALL,[에시앙]유아 의자 P에디션 트레이
44500,11,ALL,44500,82,ALL,[아웃백스테이크하우스](메가박스/아웃백) 영화 외식 결합 디지털 5만원권
9900,70,ALL,9900,83,ALL,요즘에/봄신상+10%/청바지/슬랙스/면팬츠/밴딩/3XL~
14900,11,ALL,14900,84,ALL,헬스브로 칼슘 마그네슘 아연 비타민D 6개월분(180정)
19210,2,ALL,19210,85,ALL,1+1+1 아이몽땅버블 폼폼휘핑클렌저250ml 6종
19900,33,ALL,19900,86,ALL,[Gfresh]노르웨이 고등어 160-180g x 10팩Gfresh 20%:15410원
5900,50,ALL,5900,87,ALL,ss무역 반반냄비 두가지 라면을 동시에
32900,0,ALL,32900,88,ALL,[크리넥스]크리넥스 3겹 데코소프트 33MX24롤 X2팩화장지/휴지
15900,30,ALL,15900,89,ALL,[Gfresh](GFresh)소고기 한 입에 먹는 3초 살치살 200g 3팩
42900,20,ALL,42900,90,ALL,[맥심]모카골드 커피믹스 400T  /국민커피/쿠폰가38900원
37110,0,ALL,37110,91,ALL,[인가드]인가드 국산 KF94 황사 미세먼지 마스크 대형 100매
32900,0,ALL,32900,92,ALL,[김나운더키친][김나운] 떡갈비 명작 18팩/총36장
29900,38,ALL,29900,93,ALL,[에시앙]아기의자 전용  크라운2종 (베개+라이너)
57430,2,ALL,57430,94,ALL,(행사상품)[20년산]The Plus 좋은쌀_20KG 포 
24000,0,ALL,24000,95,ALL,씨투엠 도형 학습지 플라토 B1~B4권 세트(전4권)
24000,0,ALL,24000,96,ALL,씨투엠 도형 학습지 플라토 A1~A4권 세트(전4권)
30910,2,ALL,30910,97,ALL,[베베숲]베베숲 시그니처 그린 70매 캡 20팩
