title,link,image,lprice,hprice,mallName,productId,productType
Apple 아이폰12 미니 5G 64GB (KT),https://search.shopping.naver.com/gate.nhn?id=24451759526,https://shopping-phinf.pstatic.net/main_2445175/24451759526.20201014110527.jpg,144950,946000,네이버,24451759526,1
Apple 아이폰 12 미니 128GB [KT],https://search.shopping.naver.com/gate.nhn?id=24451763524,https://shopping-phinf.pstatic.net/main_2445176/24451763524.20201014112344.jpg,359000,663500,네이버,24451763524,1
Apple 아이폰 11 64GB (SKT),https://search.shopping.naver.com/gate.nhn?id=20858274127,https://shopping-phinf.pstatic.net/main_2085827/20858274127.20200115153019.jpg,551930,931800,네이버,20858274127,1
Apple 아이폰 12 미니 128GB [자급제],https://search.shopping.naver.com/gate.nhn?id=24452740523,https://shopping-phinf.pstatic.net/main_2445274/24452740523.20201112165640.jpg,974140,1430000,네이버,24452740523,1
Apple 아이폰 12 128GB [자급제],https://search.shopping.naver.com/gate.nhn?id=24452875523,https://shopping-phinf.pstatic.net/main_2445287/24452875523.20201021164731.jpg,1109000,1920000,네이버,24452875523,1
Apple 아이폰 12 프로 맥스 128GB [자급제],https://search.shopping.naver.com/gate.nhn?id=24453088526,https://shopping-phinf.pstatic.net/main_2445308/24453088526.20201112164358.jpg,1434510,1950000,네이버,24453088526,1
Apple 아이폰 12 프로 128GB [SKT],https://search.shopping.naver.com/gate.nhn?id=24452797524,https://shopping-phinf.pstatic.net/main_2445279/24452797524.20201014120839.jpg,996200,1267300,네이버,24452797524,1
Apple 아이폰 12 프로 256GB [SKT],https://search.shopping.naver.com/gate.nhn?id=24452569534,https://shopping-phinf.pstatic.net/main_2445256/24452569534.20201014121210.jpg,1139200,1399300,네이버,24452569534,1
Apple 아이폰 12 미니 128GB [SKT],https://search.shopping.naver.com/gate.nhn?id=24451151531,https://shopping-phinf.pstatic.net/main_2445115/24451151531.20201014113043.jpg,489990,673900,네이버,24451151531,1
Apple 아이폰 12 미니 256GB [자급제],https://search.shopping.naver.com/gate.nhn?id=24452857526,https://shopping-phinf.pstatic.net/main_2445285/24452857526.20210222174521.jpg,1148390,1920000,네이버,24452857526,1
[아이폰] 아이폰12 미니128G[공시지원/완납][SKT] / 5GX플래티넘 요금제,https://search.shopping.naver.com/gate.nhn?id=25577478970,https://shopping-phinf.pstatic.net/main_2557747/25577478970.jpg,296240,0,위메프,25577478970,2
Apple 아이폰 12 프로 맥스 256GB [SKT],https://search.shopping.naver.com/gate.nhn?id=24453107524,https://shopping-phinf.pstatic.net/main_2445310/24453107524.20201014123847.jpg,1248000,1799000,네이버,24453107524,1
Apple 아이폰 12 미니 256GB [SKT],https://search.shopping.naver.com/gate.nhn?id=24452854523,https://shopping-phinf.pstatic.net/main_2445285/24452854523.20201014114759.jpg,419000,879000,네이버,24452854523,1
Apple 아이폰 12 미니 128GB [LG U+],https://search.shopping.naver.com/gate.nhn?id=24452119526,https://shopping-phinf.pstatic.net/main_2445211/24452119526.20210122153638.jpg,354900,895900,네이버,24452119526,1
Apple 아이폰 11 64GB (KT),https://search.shopping.naver.com/gate.nhn?id=20858164661,https://shopping-phinf.pstatic.net/main_2085816/20858164661.20200714152438.jpg,450000,990000,네이버,20858164661,1
Apple 아이폰 12 프로 맥스 128GB [KT],https://search.shopping.naver.com/gate.nhn?id=24453064527,https://shopping-phinf.pstatic.net/main_2445306/24453064527.20201014122841.jpg,1198000,1329000,네이버,24453064527,1
Apple 아이폰 11 128GB (SKT),https://search.shopping.naver.com/gate.nhn?id=20858301696,https://shopping-phinf.pstatic.net/main_2085830/20858301696.20190911112519.jpg,515990,1016900,네이버,20858301696,1
Apple 아이폰 SE2 128GB [자급제],https://search.shopping.naver.com/gate.nhn?id=22520082090,https://shopping-phinf.pstatic.net/main_2252008/22520082090.20200828104101.jpg,589600,950400,네이버,22520082090,1
Apple 아이폰 SE2 64GB (SKT),https://search.shopping.naver.com/gate.nhn?id=22520074930,https://shopping-phinf.pstatic.net/main_2252007/22520074930.20201203165515.jpg,165920,499900,네이버,22520074930,1
Apple 아이폰 12 256GB [자급제],https://search.shopping.naver.com/gate.nhn?id=24452854525,https://shopping-phinf.pstatic.net/main_2445285/24452854525.20201021165031.jpg,1230860,2112000,네이버,24452854525,1
Apple 아이폰12 프로 256GB [자급제],https://search.shopping.naver.com/gate.nhn?id=24452731530,https://shopping-phinf.pstatic.net/main_2445273/24452731530.20210222172533.jpg,1448990,2199000,네이버,24452731530,1
